context;question;answer;answer_start
"ABC Corp is a global technology company that specializes in providing innovative solutions to customers."; "What does ABC Corp do?"; "ABC Corp is a global technology company that specializes in providing innovative solutions to customers.";0
"ABC Corp was founded in 1998."; "When was ABC Corp founded?"; "ABC Corp was founded in 1998.";0
"The current CEO of ABC Corp is John Smith."; "Who is the CEO of ABC Corp?"; "The current CEO of ABC Corp is John Smith.";0
"ABC Corp has departments in engineering, marketing, sales, finance, and customer service."; "What departments are there at ABC Corp?"; "ABC Corp has departments in engineering, marketing, sales, finance, and customer service.";0
"The engineering department at ABC Corp is run by Mary Jones."; "Who runs the engineering department at ABC Corp?"; "The engineering department at ABC Corp is run by Mary Jones.";0
"ABC Corp offers a wide range of services, including software development, cloud computing, data analytics, and artificial intelligence."; "What services does ABC Corp offer?"; "ABC Corp offers a wide range of services, including software development, cloud computing, data analytics, and artificial intelligence.";0
"ABC Corp's mission is to provide innovative solutions that help customers succeed."; "What is ABC Corp's mission statement?"; "ABC Corp's mission is to provide innovative solutions that help customers succeed.";0
"ABC Corp uses cutting-edge technology such as machine learning, natural language processing, and artificial intelligence."; "What type of technology does ABC Corp use?"; "ABC Corp uses cutting-edge technology such as machine learning, natural language processing, and artificial intelligence.";0
"ABC Corp is headquartered in San Francisco, California."; "Where is ABC Corp headquartered?"; "ABC Corp is headquartered in San Francisco, California.";0
"ABC Corp serves a variety of industries, including healthcare, finance, retail, and education."; "What industries does ABC Corp serve?"; "ABC Corp serves a variety of industries, including healthcare, finance, retail, and education.";0
"ABC Corp offers a range of products, including software applications, cloud services, and data analytics solutions."; "What products does ABC Corp offer?"; "ABC Corp offers a range of products, including software applications, cloud services, and data analytics solutions.";0
"Yes, ABC Corp has offices in several countries around the world, including the United Kingdom, India, and Japan."; "Does ABC Corp have any international offices?"; "Yes, ABC Corp has offices in several countries around the world, including the United Kingdom, India, and Japan.";0
"The head of marketing at ABC Corp is Jane Doe."; "Who is the head of marketing at ABC Corp?"; "The head of marketing at ABC Corp is Jane Doe.";0
"ABC Corp provides 24/7 customer support via phone, email, and live chat."; "What type of customer support does ABC Corp provide?"; "ABC Corp provides 24/7 customer support via phone, email, and live chat.";0
"Yes, ABC Corp offers a variety of training programs for customers and partners."; "Does ABC Corp offer any training programs?"; "Yes, ABC Corp offers a variety of training programs for customers and partners.";0
"Yes, ABC Corp has strategic partnerships with several leading technology companies."; "Does ABC Corp have any partnerships?"; "Yes, ABC Corp has strategic partnerships with several leading technology companies.";0
"ABC Corp has won numerous awards for its innovative products and services, including the Best Technology Company Award from the International Business Awards."; "What awards has ABC Corp won?"; "ABC Corp has won numerous awards for its innovative products and services, including the Best Technology Company Award from the International Business Awards.";0
"Yes, ABC Corp is always looking for talented individuals to join its team."; "Does ABC Corp have any open job positions?"; "Yes, ABC Corp is always looking for talented individuals to join its team.";0
"ABC Corp is committed to reducing its environmental impact and promoting sustainability through its operations and products."; "What is ABC Corp's commitment to sustainability?"; "ABC Corp is committed to reducing its environmental impact and promoting sustainability through its operations and products.";0
"Yes, ABC Corp has several philanthropic initiatives that focus on providing access to education and technology for underserved communities."; "Does ABC Corp have any philanthropic initiatives?"; "Yes, ABC Corp has several philanthropic initiatives that focus on providing access to education and technology for underserved communities.";0
"ABC Corp believes in leveraging the latest technology and trends to create innovative products and services that meet customer needs."; "What is ABC Corp's approach to innovation?"; "ABC Corp believes in leveraging the latest technology and trends to create innovative products and services that meet customer needs.";0
"Yes, ABC Corp has several research and development initiatives that focus on developing new technology and products."; "Does ABC Corp have any research and development initiatives?"; "Yes, ABC Corp has several research and development initiatives that focus on developing new technology and products.";0
"ABC Corp is committed to providing excellent customer service and strives to respond to all inquiries in a timely manner."; "What is ABC Corp's customer service policy?"; "ABC Corp is committed to providing excellent customer service and strives to respond to all inquiries in a timely manner.";0
